n_agents,count,total_latency_mean,total_latency_std,total_latency_p95,coordination_tax_mean,coordination_tax_std,coordination_tax_p95,sync_delay_mean,sync_delay_std,sync_delay_p95,precision_mean,precision_std,precision_p95,recall_mean,recall_std,recall_p95,f1_mean,f1_std,f1_p95
1,50,0.0014676239993422718,0.0010754751455074225,0.003323604981414905,0.0012634739989879958,0.0010137303581191123,0.0030611899943323562,0.0,0.0,0.0,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
2,50,0.001275104003725532,0.0005364067707148079,0.0022600199910811697,0.001154872004408334,0.00047573846768069557,0.0019387500011361343,0.0001938379940110735,0.00017412243762791963,0.0004364450374850546,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
4,52,0.0021846211524321544,0.002312455030889508,0.003912059986032486,0.002071538456500677,0.0022997018376625915,0.0037088300159666358,0.0001502903827573116,6.597751007820439e-05,0.00026882500969798497,0.8626373626373623,0.02747252747252747,0.8571428571428571,1.0,0.0,1.0,0.9260355029585796,0.014792899408284028,0.923076923076923
6,50,0.0020425339986103984,0.0009369841304569561,0.0036237300053471146,0.001966075996169768,0.000911760723182641,0.0035242100071627047,1.8014006782323124e-05,1.106483146784112e-05,3.4350028727203594e-05,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
8,50,0.002083667997503604,0.0008727584488130508,0.003773445004480835,0.0020071219943929002,0.0008451655028725922,0.0036868000170215396,0.0001346660032867937,3.932906379669898e-05,0.00018728499708226998,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
12,50,0.002923556001624044,0.0011977144515682011,0.005518345016753213,0.002843800002010492,0.0011615107126234188,0.005250545029411948,3.3154003322123604e-05,1.8344145590540484e-05,6.142499623820184e-05,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
16,50,0.0035986459965351397,0.0012586345260751542,0.006111789972055639,0.0035163739975541297,0.001212082194963929,0.0059164399921428105,0.00016810399945822258,0.00017984856897166688,0.00045615999260909966,0.857142857142857,4.440892098500626e-16,0.8571428571428571,1.0,0.0,1.0,0.9230769230769229,7.771561172376096e-16,0.923076923076923
