n_agents,count,total_latency_mean,total_latency_std,total_latency_p95,coordination_tax_mean,coordination_tax_std,coordination_tax_p95,sync_delay_mean,sync_delay_std,sync_delay_p95,precision_mean,precision_std,precision_p95,recall_mean,recall_std,recall_p95,f1_mean,f1_std,f1_p95,efficiency_mean,efficiency_std,efficiency_p95,total_throughput_mean,total_throughput_std,total_throughput_p95
1,1000,0.001451867199910288,0.0007195595254207988,0.0022291449742623645,0.0007672852001850923,0.0006763696594704596,0.0013214700447860945,0.0,0.0,0.0,0.6785714285714288,7.993605777301127e-15,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,9.992007221626409e-15,0.8085106382978724,0.4818852078912053,0.060004807668799856,0.5741098927533012,246029.55143636663,44004.53433186158,301037.15607173805
2,1000,0.001563500899355808,0.00040509712351465124,0.00225745001516769,0.0011732041002832793,0.0003656344458320778,0.0017643700441111847,0.0004927550008869233,8.659070059552412e-05,0.0006669399561360299,0.6785714285714288,7.993605777301127e-15,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,9.992007221626409e-15,0.8085106382978724,0.2529910735005474,0.03260757781339614,0.3051549092107754,224079.12365202777,35616.20801535491,270037.074755895
4,1000,0.002237035998783489,0.0014854369199925389,0.002877155019086715,0.0019713801981997175,0.0014683948989101853,0.0025166250154142447,0.0003452163005130808,0.00012480854976421773,0.0004680500103858398,0.6785714285714288,7.993605777301127e-15,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,9.992007221626409e-15,0.8085106382978724,0.12262723198688548,0.02345265816821346,0.1607792880127558,159837.22889233744,22925.821623509153,190381.97886708876
8,1000,0.0028221433997386567,0.0026579809683306985,0.0033993800374446247,0.0026387362998793354,0.002415037654635115,0.0031789599888724846,0.0003814292997121322,0.0001890955255539893,0.000505035003880005,0.6785714285714288,7.993605777301127e-15,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,9.992007221626409e-15,0.8085106382978724,0.06244867123086691,0.016409550897942462,0.08444651709006784,128855.09881878618,19378.334351521837,159421.1925072096
16,1000,0.002932379599485963,0.001730366067937002,0.004170049971435175,0.002834086100396186,0.0017214073870756206,0.00402986500703256,0.00015947440016311534,5.10623782661311e-05,0.00025675503129601494,0.6785714285714288,7.993605777301127e-15,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,9.992007221626409e-15,0.8085106382978724,0.03413473827581289,0.007575739297307462,0.04730763608335573,122286.82563169995,23542.113268651567,156779.0712745369
