run_id,n_agents,total_latency,coordination_tax,sync_delay,precision,recall,f1,pred_count,gt_count,tokens_total,timestamp
200e36a9-1c71-4f8b-ab4d-2eb36475065d,4,0.004418500000610948,0.0043058000155724585,0.0002691000117920339,1.0,1.0,1.0,3,3,9,2026-04-21T11:40:46.517301Z
c0fd1fca-23d8-4f09-8574-d939e1725297,4,0.01754939998500049,0.017420999938622117,0.00015049998182803392,1.0,1.0,1.0,3,3,9,2026-04-21T11:41:45.138720Z
5cb3c8b9-b7a5-4ac3-99f7-554857c12053,1,0.002192299987655133,0.0019590999581851065,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:38.997048Z
36fdafee-fb5f-47c3-93f6-e8acb49e17a1,1,0.006289100041612983,0.005697700020391494,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.017554Z
dc883dcb-136d-40b2-95cd-063865bf93f8,1,0.0017579999985173345,0.001288799976464361,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.020643Z
358abf85-02d1-4962-8d1a-acd4055395f6,1,0.0011331000132486224,0.0009684999822638929,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.028415Z
2634a250-52e2-4bbe-bf56-2cc625e91cc6,1,0.0024715999606996775,0.0022934999433346093,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.036937Z
6df7e4bf-d628-4f01-98a4-5025733e297e,1,0.0007899000192992389,0.0006865999894216657,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.038947Z
e39d8413-970d-4e64-8956-d4032cb321a1,1,0.0010300999856553972,0.0008914999780245125,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.043983Z
8e52f724-02b4-402b-a940-918ec1fb9926,1,0.0009548000525683165,0.00082840007962659,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.044884Z
b724bc7d-11d5-4eb9-9e06-d5e3f69a3f75,1,0.001270199951250106,0.001075899985153228,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.050561Z
a7631283-06b0-4a3a-8bdf-3d09c14eabc9,1,0.0015227999538183212,0.0011599999270401895,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.061393Z
aa486f59-84e7-4418-a429-032cad0f87ff,1,0.0020976000232622027,0.0018649999983608723,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.070143Z
42f6d9e2-8cfe-4049-9608-d53c56c888aa,1,0.001142399967648089,0.0009660999639891088,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.078380Z
63917f09-b00e-4b60-8ed9-07ad3eea7093,1,0.001712600002065301,0.0014894999912939966,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.085557Z
62377120-28eb-490f-8850-2a5bb1e02208,1,0.0009583999635651708,0.0008414999465458095,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.090583Z
85faef2d-0fac-42b7-817a-7e38c0e794a1,1,0.0017356000025756657,0.0011699000024236739,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.096607Z
6c2717c5-08da-4584-aa88-456a637ec17c,1,0.005479199986439198,0.005283700011204928,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.191498Z
c7ce45da-60ba-4591-873c-470171ba96e6,1,0.0010568000143393874,0.0008798000053502619,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.196530Z
ef1595d6-7e19-4ac7-94af-ab28cf018557,1,0.0015295000048354268,0.0012543000048026443,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.198540Z
2ae1e2d0-87fc-4b05-aecc-ca9993a0247c,1,0.0008185000042431056,0.0007091999868862331,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.203880Z
37190761-4b33-46ec-aaba-2ddd6c625248,1,0.0009339000098407269,0.0008165999897755682,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.209500Z
b6f0f64d-7927-4488-bf82-a2430140fd8a,1,0.0015753000043332577,0.0013469000114127994,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.226513Z
b8fa41d8-fea6-4431-aa5a-8b8fb55c2cb2,1,0.0015786000294610858,0.001369000063277781,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.231785Z
5b40bb8f-20d9-42da-b642-99dd505449cf,1,0.0009303999831900001,0.0008078999817371368,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.232616Z
83726e87-f0fb-4d59-a2ec-9b6cef21b716,1,0.0006314999773167074,0.0005316999740898609,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.232616Z
c0a06b8e-67c0-4519-ac65-ac7de2935434,1,0.000989499967545271,0.0008684999775141478,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.245176Z
69f4cace-0c6b-4907-a4c9-c8bd13ea8dc8,1,0.001054299995303154,0.0007236999808810651,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.248985Z
9c61ac80-f8d4-4650-859f-02e979a07429,1,0.0006910000229254365,0.0005999000277370214,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.253156Z
796b5265-4c47-485d-9ba6-465785eeb907,1,0.0006477999850176275,0.0005449000163935125,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.253156Z
b9d89e2c-6a44-4baf-9dd8-1515ebfa841f,1,0.0010181000106967986,0.0007075000321492553,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.260230Z
e8647c21-b2e0-43d5-bde8-856c0e56abce,1,0.0008829000289551914,0.0006723000551573932,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.261211Z
8b7fbec9-4360-46ea-80a9-3bcf16068792,1,0.0018859999836422503,0.0015359999961219728,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.268295Z
daeaf722-bd0d-4960-9c70-d8fcc532dde8,1,0.0008983000298030674,0.0006624000379815698,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.268295Z
b98eb129-a580-48a3-b75b-f8b7ecb40d7f,1,0.001157799968495965,0.001003399956971407,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.277965Z
961c80c4-5db2-4967-85c8-f7e4c9311ad6,1,0.001312199980020523,0.001171099953353405,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.282208Z
d53c6cac-e333-43e6-bda3-a4320a6b4a0e,1,0.0012294999905861914,0.0010463999933563173,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.284430Z
d18cc05f-c465-4998-9244-7000f269c1d9,1,0.0015233000158332288,0.0012320000096224248,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.294263Z
804ef13f-95b7-4226-9feb-79b47ea04dfb,1,0.0020991999772377312,0.0018031999352388084,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.301155Z
f03c9d6c-896e-4ebb-9271-9e6e2c358a5b,1,0.0015632000286132097,0.0012478000135160983,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.307428Z
bbcece00-0f8a-4091-a114-583f1d4995ef,1,0.0007165999850258231,0.0006212000153027475,0.0,0.8571428571428571,1.0,0.923076923076923,7,6,23,2026-04-21T11:47:39.310876Z
