n_agents,count,total_latency_mean,total_latency_std,total_latency_p95,coordination_tax_mean,coordination_tax_std,coordination_tax_p95,sync_delay_mean,sync_delay_std,sync_delay_p95,precision_mean,precision_std,precision_p95,recall_mean,recall_std,recall_p95,f1_mean,f1_std,f1_p95,efficiency_mean,efficiency_std,efficiency_p95,total_throughput_mean,total_throughput_std,total_throughput_p95
1,500,1.0354785927996273,0.2819728790335452,1.608224805005011,1.0344116170001216,0.2817241212093079,1.6074071649694814,0.0,0.0,0.0,0.6785714285714288,1.1102230246251565e-16,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,3.1086244689504383e-15,0.8085106382978724,0.0010378649430021363,0.00035343231161648775,0.001717283149669804,347.17024666356514,80.09339326696028,484.5413178320351
2,500,1.0688118188016815,0.17418047078946586,1.3972494899790027,1.0680990658015943,0.17407609835687676,1.3960274049837598,0.0009641381999244441,0.00041061951613782034,0.0016283900011330548,0.6785714285714288,1.1102230246251565e-16,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,3.1086244689504383e-15,0.8085106382978724,0.0006679396181107926,0.00019000982505395294,0.0010511190787922298,322.9355848131231,42.1874250173657,366.83583866512885
4,500,1.7554113145985175,0.251774921432672,2.2400669550057493,1.7547311215995578,0.25167450450542617,2.2393981249857453,0.002363469602074424,0.0008012585533239298,0.0034138300223275435,0.6785714285714288,1.1102230246251565e-16,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,3.1086244689504383e-15,0.8085106382978724,0.000387255737562389,0.00018545292564052534,0.00053657848322849,196.04519469674534,24.829002552068026,233.2870237531567
8,500,2.69096671599953,0.527177419024741,3.7012300249800307,2.6903596396018985,0.5270079420753897,3.700747225017402,0.004376236799173009,0.003376460942770645,0.008317615024861834,0.6785714285714288,1.1102230246251565e-16,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,3.1086244689504383e-15,0.8085106382978724,0.00022376483698131183,0.0002315979087401501,0.00040355825204800973,129.25136354163965,19.457179659739033,151.993916966968
16,500,10.346521493000095,113.41226617108175,6.467798284988384,10.345774503000197,113.41227693352901,6.467416899980162,0.035895612200954885,0.04310726065377278,0.13131752499612045,0.6785714285714288,1.1102230246251565e-16,0.6785714285714286,1.0,0.0,1.0,0.8085106382978722,3.1086244689504383e-15,0.8085106382978724,0.00014041758042353545,0.00045628632065239117,0.00022428141518415447,67.63855435040898,9.098071357752183,75.96488446744515
