dataset_name,dataset_description,trial_idx,trial_seed,trial_key,num_agents,row_count,error_count,tp,fp,fn,precision,recall,f1_score,accuracy_by_label,e2e_ms,t_inf_ms,delta_sync_ms,c_tax_ms
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",3,1045,chat_transcripts::3,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.6086999999993736,0.09507000000041899,0.0,0.5136299999989546
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",3,1045,chat_transcripts::3,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",12.177230000000172,11.186974999999677,11.271295000000237,0.990255000000495
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",3,1045,chat_transcripts::3,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",12.883014999999352,11.876884999999682,11.955354999999912,1.006129999999672
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",3,1045,chat_transcripts::3,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",20.591944999999434,19.437510000000024,19.821890000000053,1.1544349999994097
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",3,1045,chat_transcripts::3,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",24.18934999999962,21.60566500000005,23.165445000000066,2.5836849999995692
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",4,1046,chat_transcripts::4,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.6163450000002513,0.09084999999977583,0.0,0.5254950000004754
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",4,1046,chat_transcripts::4,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",13.823830000000115,12.749680000000296,12.845954999999876,1.0741499999998183
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",4,1046,chat_transcripts::4,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",14.086145000000272,13.072995000000631,13.169050000000126,1.0131499999996407
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",4,1046,chat_transcripts::4,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",22.042739999999835,20.82355499999995,21.25669999999999,1.2191849999998894
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",4,1046,chat_transcripts::4,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",23.23448499999987,21.11250499999997,22.38627500000003,2.121979999999901
